source,sphere,scenario,year,ktne
Теплова енергія з ВДЕ,промисловість,Ліберальний,2020,280.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2025,348.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2030,407.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2035,600.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2040,736.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2045,771.0
Теплова енергія з ВДЕ,промисловість,Ліберальний,2050,905.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2012,325.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2015,232.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2020,856.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2025,1335.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2030,1766.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2035,2325.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2040,2848.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2045,3246.0
Електроенергія з ВДЕ,промисловість,Ліберальний,2050,3651.0
Вугілля,промисловість,Ліберальний,2012,8310.0
Вугілля,промисловість,Ліберальний,2015,5569.0
Вугілля,промисловість,Ліберальний,2020,5445.0
Вугілля,промисловість,Ліберальний,2025,6670.0
Вугілля,промисловість,Ліберальний,2030,7371.0
Вугілля,промисловість,Ліберальний,2035,8307.0
Вугілля,промисловість,Ліберальний,2040,9170.0
Вугілля,промисловість,Ліберальний,2045,9934.0
Вугілля,промисловість,Ліберальний,2050,10558.0
Електроенергія,промисловість,Ліберальний,2012,5102.0
Електроенергія,промисловість,Ліберальний,2015,4065.0
Електроенергія,промисловість,Ліберальний,2020,4982.0
Електроенергія,промисловість,Ліберальний,2025,5065.0
Електроенергія,промисловість,Ліберальний,2030,4618.0
Електроенергія,промисловість,Ліберальний,2035,4786.0
Електроенергія,промисловість,Ліберальний,2040,4849.0
Електроенергія,промисловість,Ліберальний,2045,4696.0
Електроенергія,промисловість,Ліберальний,2050,4514.0
Газ,промисловість,Ліберальний,2012,5272.0
Газ,промисловість,Ліберальний,2015,2762.0
